property_type,address,bedroom_number,bathroom_number,area,phone,description,listed_in_site,link,company,price
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,2,100 sqm,tel:+201050169111,Apartment For Sale prime location view Club,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5027218.html,DADDY ESTATE logo image,"4,300,000 EGP"
Apartment,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,204 sqm,tel:+201099655713,District 5 apartment for sale prime location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-district-5-5026581.html,Backyard logo image,"18,500,000 EGP"
Villa,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,7,"1,000 sqm",tel:+201016909538,villa 1000m finished for sale LAKE VIEW new cairo,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-5025238.html,YaKan Properties logo image,"95,000,000 EGP"
Apartment,"Noor City, Cairo",3,2,119 sqm,tel:+201096566594,Noor City Direct from TMG | 119m2 Apartment,Listed 8 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-noor-city-5028559.html,TMG Direct logo image,"467,700 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,175 sqm,tel:+201103653377,((I live with a cash discount)) Longest repayment,Listed 8 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5028571.html,Next Consultancy logo image,"10,052,000 EGP"
Chalet,"Telal Al Sokhna, Al Ain Al Sokhna, Suez",2,2,107 sqm,tel:+201222121700,Chalet 2BD | Full SEAVIEW | Fully Finished,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-telal-al-sokhna-5024708.html,The Capital for Real Estate logo image,"7,200,000 EGP"
Apartment,"Concord Plaza, South Investors Area, New Cairo City, Cairo",3,2,195 sqm,tel:+20221257014,Apartment for sale RTM next concordplaza with10%dp,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-concord-plaza-5025525.html,B2C Real Estate logo image,"1,073,000 EGP"
Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",3,3,121 sqm,tel:+201201658603,"Apartment fully finished for sale,ready to move 5%",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-5023257.html,Egypt Best Properties West logo image,"3,500,000 EGP"
Villa,"Seasons Residence, Ext North Inves Area, New Cairo City, Cairo",3,4,750 sqm,tel:+20221257241,Standalone 750m with pool in seasons residence .,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-ext-north-inves-area-seasons-residence-5026796.html,URE-Ultimate Real Estate logo image,"36,000,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,159 sqm,tel:+201201799638,Prime location Apartment ground floor with Garden,Listed 11 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5028426.html,New Destination  Real Estate Consultancy logo image,"1,800,000 EGP"
Townhouse,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,3,241 sqm,tel:+201288736478,Town House Corner Del 2025 10% at Village West,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-village-west-5024874.html,Egypt Best Properties West logo image,"17,500,000 EGP"
Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,315 sqm,tel:+201096963555,Twinhouse 315m fully finished for sale in Mivida,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-5024780.html,Green Homes Real estate Agency logo image,"35,000,000 EGP"
Penthouse,"Silver Sands, Qesm Marsa Matrouh, North Coast",4,2,223 sqm,tel:+201212923333,FULL SEAVIEW RESALE Penthouse in Silver sands,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-north-coast-qesm-marsa-matrouh-silver-sands-5024272.html,Element not found,"19,422,508 EGP"
Apartment,"Sun Capital, Fayoum Desert road, 6 October City, Giza",2,2,107 sqm,tel:+20221208363,"0% down payment, own your apartment Ready in oct",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5027849.html,Capital Agency For Real Estate logo image,"5,300,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",2,2,130 sqm,tel:+201103653377,⚜️130 sqm garden with 15% down payment √ With an a,Listed 8 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5028547.html,Next Consultancy logo image,"9,094,000 EGP"
Apartment,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,242 sqm,tel:+201070002929,Fully Finished with ACs Resale Best Location,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-zed-towers-park-side-residence-5028282.html,ALux Investments logo image,"22,002,000 EGP"
Twin House,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,295 sqm,tel:+201153154073,Own Resale Twin house 295 sqm at Il Patio Oro,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-el-patio-oro-5024236.html,TAI - The Address Investments logo image,"20,500,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,128 sqm,tel:+20221257261,Fully Finished on lagoon with installments - PHNC,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026468.html,URE-Ultimate Real Estate logo image,"9,881,000 EGP"
Townhouse,"O West, 6 October Compounds, 6 October City, Giza",3,3,198 sqm,tel:+20221208544,"Town house for sale, Owest compound",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-6-october-compounds-o-west-5023779.html,Premium Real estate logo image,"12,600,000 EGP"
Chalet,"Paradise Ras Sudr, Raas Matarma, Ras Sedr, South Sainai",1,1,75 sqm,tel:+201021551076,Chalet for sale with Shawah Party Garden with Dire,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-south-sainai-ras-sedr-raas-matarma-paradise-ras-sudr-5027958.html,Element not found,"542,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,183 sqm,tel:+201070002929,Delivery Now Resale Bahary Prime Location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026988.html,ALux Investments logo image,"8,900,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,134 sqm,tel:+201070002929,Fully Finished Direct on Lagoon under market price,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026977.html,ALux Investments logo image,"10,958,000 EGP"
Townhouse,"Kamel Al Kilani St., Rehab City First Phase, Al Rehab, New Cairo City, Cairo",3,3,240 sqm,tel:+20121111242,Villa type B in Rehab city fully finished for sale,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-al-rehab-rehab-city-first-phase-kamel-al-kilani-st-5026995.html,Element not found,"16,000,000 EGP"
Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,210 sqm,tel:+201103600295,Apart 4 sale 210m Eastown jacaranda park view,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-5026903.html,Avadar Properties logo image,"15,800,000 EGP"
Chalet,"Marassi, Sidi Abdel Rahman, North Coast",2,2,142 sqm,tel:+201060007985,Chalet 2 Bedrooms Close to Safi Beach in Marina,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-5027969.html,A-Plus logo image,"16,500,000 EGP"
Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,167 sqm,tel:+201212530801,Apartment 3 bedroom ready to move with installment,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-5027144.html,Egypt Best Properties logo image,"11,900,000 EGP"
Villa,"Villar, North Investors Area, New Cairo City, Cairo",6,6,"1,100 sqm",tel:+20221257261,villa in Villar with the best view in the compound,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-north-investors-area-villar-5026703.html,URE-Ultimate Real Estate logo image,"43,000,000 EGP"
Chalet,"La vista Ras El Hikma, Ras Al Hekma, North Coast",3,3,150 sqm,tel:+20221257302,elegant chalet ready to move directly on the sea,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-la-vista-ras-el-hikma-5026702.html,Falcon for Real Estate logo image,Ask for price
Apartment,"Sun Capital, Fayoum Desert road, 6 October City, Giza",3,3,156 sqm,tel:+20221208363,"0% down payment, own your apartment Ready in oct",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5027934.html,Capital Agency For Real Estate logo image,"7,500,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,184 sqm,tel:+201070002929,Cheapest Unit Ready to Move Open view on villas,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5026987.html,ALux Investments logo image,"8,100,000 EGP"
Townhouse,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",4,4,230 sqm,tel:+201050169111,Townhouse For Sale Prime Location View Landscape,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-5027200.html,DADDY ESTATE logo image,"9,700,000 EGP"
Apartment,"Sun Capital, Fayoum Desert road, 6 October City, Giza",2,2,107 sqm,tel:+201155544006,Unit ready to move10% DPover 6years view pyramids,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5026952.html,Esraa logo image,"5,300,000 EGP"
Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,240 sqm,tel:+201025447652,Villa For Sale 240M Corner Prime Location in Sarai,Listed 11 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-5028444.html,GPR Property logo image,"1,300,000 EGP"
Townhouse,"Amwaj, Sidi Abdel Rahman, North Coast",3,2,160 sqm,tel:+201150230000,launching in summer Al Ahly Sabbour with10%DP|8YRS,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-north-coast-sidi-abdel-rahman-amwaj-5023177.html,CBE New Homes logo image,"14,000,000 EGP"
Twin House,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,3,311 sqm,tel:+201272020450,Twin house for sale in City Gate Prime Location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-city-gate-5026353.html,Hodoud for Real Estate logo image,"23,559,380 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185 sqm,tel:+20221257024,Apartment 185m RESALE in Hyde Park Ready To Move,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5025642.html,IRTKAZ logo image,"10,000,000 EGP"
iVilla,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,205 sqm,tel:+201068680306,Best price Mountain View iCity Lagoon Beach park,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5023512.html,Brokers Hub Egypt logo image,"5,000,000 EGP"
Apartment,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",studio,1,64 sqm,tel:+201096963555,Studio fully finished for sale in Uptown Cairo,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-uptown-cairo-the-fourteen-golf-residences-5023398.html,Green Homes Real estate Agency logo image,"5,203,155 EGP"
Apartment,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",3,3,166 sqm,tel:+201103653377,⚫166 sqm in garden (receive at 10% - know the cash,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-5025044.html,Next Consultancy logo image,"10,990,000 EGP"
Duplex,"Ahmed Tayseer St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",3,4,387 sqm,tel:+201119668966,Ard El Golf- Heliopolis Finished Duplex 387m -Sale,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-heliopolis-masr-el-gedida-ard-el-golf-ahmed-tayseer-st-5027583.html,RJ Real Estate logo image,"6,900,000 EGP"
Duplex,"Ahmed Tayseer St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",3,4,387 sqm,tel:+201119668966,Ard El Golf- Heliopolis Finished Duplex 387m -Sale,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-heliopolis-masr-el-gedida-ard-el-golf-ahmed-tayseer-st-5027583.html,RJ Real Estate logo image,"6,900,000 EGP"
